paper_id,doi,title
Yi_et_al__-_2015_-_Facile_in_Situ_Preparation_of_Graphitic-C_3_reactions,10.1021/acsami.5b01727,Facile in Situ Preparation of Graphitic-C3N4@carbon Paper As an Efficient Metal-Free Cathode for Nonaqueous Li−O2 Battery
Yu_and_Manthiram_-_2019_-_Sodium-Sulfur_Batteries_with_a_Polymer-Coated_NASI_reactions,10.1016/j.matt.2019.03.008,Sodium-Sulfur Batteries with a Polymer-Coated NASICON-type Sodium-Ion Solid Electrolyte
Zafar_et_al__-_2017_-_Cathode_materials_for_rechargeable_aluminum_batter_reactions,10.1039/c7ta00282c,Cathode materials for rechargeable aluminum batteries: current status and progress
Zeng_and_Li_-_2014_-_Innovative_application_of_ionic_liquid_to_separate_reactions,10.1016/j.jhazmat.2014.02.001,Innovative application of ionic liquid to separate Al and cathode materials from spent high-power lithium-ion batteries
Zeng_and_Zhu_-_2015_-_Surface_morphology__elastic_modulus_and_hardness_o_reactions,10.1016/j.mechmat.2015.05.005,"Surface morphology, elastic modulus and hardness of thin film cathodes for Li-ion rechargeable batteries"
Zhang_et_al__-_2018_-_Degradation_Mechanisms_at_the_Li_10_GeP_reactions,10.1021/acsami.8b05132,Degradation Mechanisms at the Li10GeP2S12/LiCoO2 Cathode Interface in an All-Solid-State Lithium-Ion Battery
Zhang_et_al__-_2022_-_Compositionally_complex_doping_for_zero-strain_zer_reactions,10.1038/s41586-022-05115-z,Compositionally complex doping for zero-strain zero-cobalt layered cathodes
Zhang_et_al__-_2022_-_Gallium_based_liquid_metals_for_lithium_ion_batter_reactions,10.1002/idm2.12042,Gallium ‐based liquid metals for lithium ‐ion batteries
Zhang_et_al__-_2022_-_Rationally_Designed_Sodium_Chromium_Vanadium_Phosp_reactions,10.1002/aenm.202201065,Rationally Designed Sodium Chromium Vanadium Phosphate Cathodes with Multi-Electron Reaction for Fast-Charging Sodium-Ion Batteries
Zhang_et_al__-_2023_-_Long-life_lithium-ion_batteries_realized_by_low-Ni_reactions,10.1038/s41560-023-01267-y,"Long-life lithium-ion batteries realized by low-Ni, Co-free cathode chemistry"
Zhou_et_al__-_2020_-_The_Current_Process_for_the_Recycling_of_Spent_Lit_reactions,10.3389/fchem.2020.578044,The Current Process for the Recycling of Spent Lithium Ion Batteries
Zhou_et_al__-_2022_-_Lithium_Bromide-Induced_Organic-Rich_CathodeElect_reactions,10.1021/acsami.2c05016,Lithium Bromide-Induced Organic-Rich Cathode/Electrolyte Interphase for High-Voltage and Flame-Retardant All-Solid-State Lithium Batteries
Zhou_et_al__-_2024_-_Healable_and_conductive_sulfur_iodide_for_solid-st_reactions,10.1038/s41586-024-07101-z,Healable and conductive sulfur iodide for solid-state Li–S batteries
Zhu_et_al__-_2014_-_Carbon-Coated_Na_3_V_2__PO__reactions,10.1021/nl500548a,Carbon-Coated Na3V2(PO4)3 Embedded in Porous Carbon Matrix: An Ultrafast Na-Storage Cathode with the Potential of Outperforming Li Cathodes
Zhu_et_al__-_2021_-_An_unconventional_full_dual-cation_battery_reactions,10.1016/j.nanoen.2020.105539,An unconventional full dual-cation battery
Zhu_et_al__-_2021_-_Concentrated_dual-cation_electrolyte_strategy_for__reactions,10.1039/d1ee01472b,Concentrated dual-cation electrolyte strategy for aqueous zinc-ion batteries
Zuo_et_al__-_2023_-_Layered_Oxide_Cathodes_for_Sodium-Ion_Batteries_S_reactions,10.1021/acs.accounts.2c00690,"Layered Oxide Cathodes for Sodium-Ion Batteries: Storage Mechanism, Electrochemistry, and Techno-economics"
_ACSNano__Two-Dimensional_Vanadium_Carbide__MXene__as_a_High-Capacity_Cathode_Material_for_Rechargeable_Aluminum_Batteries-suppl_reactions,,Two-Dimensional Vanadium Carbide (MXene) as a High Capacity Cathode Material for Rechargeable Aluminum Batteries
_AdvancedMaterials__HighNickel_NMA_reactions,10.1002/adma.202002718,High-Nickel NMA: A Cobalt-Free Alternative to NMC and NCA Cathodes for Lithium-Ion Batteries
_JECS__Lithium_Free_Thin_Film_Battery_with_In_Situ_Plated_Li_Anode_reactions,,“Lithium‐Free” Thin‐Film Battery with In Situ Plated Li Anode
